ca,de
"Totes les cançons estan compostes per John Lennon, tret que s’indiqui el contrari.
","Alle Lieder geschriebenen und komponiert von John Lennon, sofern nicht anders vermerkt.
"
"Totes les cançons compostes per Neil Young.
","Alle Lieder komponiert von Neil Young
"
"Totes les cançons són mescles originals que s’han remasteritzat digitalment.
","Alle Lieder sind Originalabmischungen, die digital neu überarbeitet wurden.
"
"Totes les cançons formen part de la representació en directe tret que s’especifiqui el contrari.
","Alle Lieder sind Teil des Liveauftritts, sofern nicht anderweitig angegeben.
"
"Totes les cançons són de Ciccone Youth, tret si s’indica el contrari.
","Alle Lieder sind von Ciccone Youth, wenn nicht anders vermerkt.
"
"Ono escriu, compon, arranja, produeix i canta totes les cançons.
","Alle Lieder sind von Ono geschrieben, komponiert, arrangiert, produziert und gesungen.
"
"Tret que s'indiqui el contrari, totes les cançons són escrites per The Rasmus.
","Alle Lieder sind von The Rasmus geschrieben, sofern nicht anders angegeben.
"
"Si no s'indica el contrari, totes les cançons han estat escrites per Beck.
","Alle Lieder, soweit nicht anders vermerkt, von Beck komponiert.
"
"Totes les cançons ha estat escrites per Bob Geldof, tret de les indicades.
","Alle Lieder stammen von Bob Geldof, sofern nicht anders angegeben.
"
"Totes les cançons les va escriure Hadj Brahim Khaled, si no s'indica el contrari.
","Alle Lieder stammen von Hadj Brahim Khaled, sofern nicht anders vermerkt.
"
"Totes les cançons de Juliana Hatfield.
","Alle Lieder stammen von Juliana Hatfield.
"
"Totes les cançons són de Karl Hyde, Rick Smith i Alfie Thomas.
","Alle Lieder stammen von Karl Hyde, Rick Smith und Alfie Thomas.
"
"Peter Steel és l’autor de totes les cançons, excepte les que indiquen el contrari.
","Alle Lieder stammen von Peter Steele, sofern nicht anders vermerkt.
"
"Totes les cançons de Beck, excepte en el cas que s'indiqui.
","Alle Lieder von Beck, außer anders angegeben.
"
"Totes les cançons són de Billy Gibbons, Dusty Hill i Frank Beard.
","Alle Lieder von Billy Gibbons, Dusty Hill und Frank Beard.
"
"Totes les cançons són de Dave J. Matthews, excepte que s’indiqui el contrari.
","Alle Lieder von Dave J. Matthews, sofern nicht anders angegeben.
"
"Totes les cançons de David J. Matthews a menys que s’indiqui.
","Alle Lieder von David J. Matthews, falls nicht gekennzeichnet.
"
"Totes les cançons d'Eric D. Johnson.
","Alle Lieder von Eric D. Johnson.
"
"Totes les cançons són de Evan Dando, excepte en el cas que s'indiqui.
","Alle Lieder von Evan Dando, wenn nicht anders vermerkt.
"
"Totes les cançons de Guy Picciotto, Ian MacKaye, Joe Lally i Brendan Canty.
","Alle Lieder von Guy Picciotto, Ian MacKaye, Joe Lally und Brendan Canty.
"
"Totes les cançons estan escrites per Kevin Drew i Charles Spearin.
","Alle Lieder von Kevin Drew und Charles Spearin.
"
"Llevat que s'indiqui el contrari, totes les cançons han estat escrites per Leif Edling.
","Alle Lieder von Leif Edling, sofern nicht anders vermerkt.
"
"Tots els temes són de Pete Doherty, llevat que s'indiqui el contrari.
","Alle Lieder von Pete Doherty, sofern nicht anders angegeben.
"
"“Llevat que s’indiqui el contrari, totes les cançons han estat escrites per Tanya Donelly”.
","„Alle Lieder von Tanya Donelly, außer anders angeben.“
"
"Totes les cançons estan escrites per The Beat, tret que s’indiqui el contrari.
","Alle Lieder von The Beat komponiert, sofern nicht anders angegeben.
"
"Totes les cançons escrites per The Tragically Hip.
","Alle Lieder von The Tragically Hip.
"
"Si no s'especifica, totes les cançons estan escrites per Tom Waits.
","Alle Lieder von Tom Waits, sofern nicht anders vermerkt.
"
"Totes les cançons les van escriure Tom Warrior i Martin Ain, tret que s'indiqui el contrari.
","Alle Lieder von Tom Warrior und Martin Ain, sofern nicht anders vermerkt.
"
"Totes les cançons de Tony Banks, Phil Collins, i Mike Rutherford.
","Alle Lieder von Tony Banks, Phil Collins und Mike Rutherford.
"
"Totes les cançons les van escriure Angus Young, Malcolm Young i Bon Scott.
","Alle Lieder waren von Angus Young, Malcolm Young und Bon Scott geschrieben worden.
"
"Totes les cançons s’atribueixen a Mark Lanegan i Gary Lee Conner.
","Alle Lieder werden Mark Lanegan und Gary Lee Conner zugeschrieben.
"
"Totes les cançons mesclades per Gareth Cousins.
","Alle Lieder werden von Gareth Cousins gemischt.
"
"Totes les cançons es van atribuir a Miles Davis.
","Alle Lieder wurden Miles Davis zugeschrieben.
"
"Totes les cançons van ser publicades originalment a Wax Trax!
","Alle Lieder wurden ursprünglich auf Wachslieder veröffentlicht!
"
"Totes les pistes estan escrites i compostes per Barry, Robin i Maurice Gibb.
","Alle Lieder wurden verfasst und komponiert von Barry, Robin und Maurice Gibb.
"
"Totes les cançons van ser escrites per Amel Larrieux i Laru Larrieux.
","Alle Lieder wurden von Amel Larrieux und Laru Larrieux geschrieben.
"
"Totes les pistes escrites per Biddles, Gallup i Curran, excepte on s'indiqui.
","Alle Lieder wurden von Biddles, Gallup und Curran geschrieben, sofern nicht anders angegeben.
"
"Totes les cançons escrites per Bob Geldof tret de les indicades.
","Alle Lieder wurden von Bob Geldof geschrieben, außer es wird etwas anderes angegeben.
"
"Totes les cançons són escrites per Bruce Springsteen.
","Alle Lieder wurden von Bruce Springsteen geschrieben.
"
"Totes les cançons estan escrites i compostes per Cibo Matto, llevat que s’especifiqui el contrari.
","Alle Lieder wurden von Cibo Matto geschrieben und komponiert, sofern nicht anders angegeben.
"
"Totes les cançons estan escrites per Dave Allen, Barry Andrews, Martyn Barker i Carl Marsh.
","Alle Lieder wurden von Dave Allen, Barry Andrews, Martyn Barker und Carl Marsh geschrieben.
"
"Totes les cançons són escrites per Dee Snider.
","Alle Lieder wurden von Dee Snider geschrieben.
"
"Totes les cançons estan escrites pels Butthole Surfers.
","Alle Lieder wurden von den Butthole Surfers geschrieben.
"
"Totes les cançons estan escrites per Freddie Mercury.
","Alle Lieder wurden von Freddie Mercury geschrieben.
"
"Totes les cançons escrites per Gillian Welch i David Rawlings.
","Alle Lieder wurden von Gillian Welch und David Rawlings geschrieben.
"
"Totes les cançons estan escrites per Isaac Hanson, Taylor Hanson i Zac Hanson.
","Alle Lieder wurden von Isaac Hanson, Taylor Hanson und Zac Hanson geschrieben.
"
"Totes les cançons escrites per Jamison Covington i Parker Case.
","Alle Lieder wurden von Jamison Covington und Parker Case geschrieben.
"
"Totes les cançons estan escrites per Jason Martin.
","Alle Lieder wurden von Jason Martin geschrieben.
"
"Totes les cançons estan escrites per Jim Heath.
","Alle Lieder wurden von Jim Heath geschrieben.
"
"Totes les cançons han estat escrites per Joey DeMaio, tret que s'indiqui d'altra manera.
","Alle Lieder wurden von Joey DeMaio geschrieben, außer wenn anders angegeben.
"
"Totes les cançons estan escrites per John Lee Hooker.
","Alle Lieder wurden von John Lee Hooker geschrieben.
"
"Totes les cançons estan escrites, compostes i arranjades per John Paul Jones.
","Alle Lieder wurden von John Paul Jones geschrieben, komponiert und arrangiert.
"
"Kevin Griffin va compondre totes les cançons.
","Alle Lieder wurden von Kevin Griffin komponiert.
"
"Totes les cançons han estat escrites per Leo Sayer i Frank Farrell.
","Alle Lieder wurden von Leo Sayer und Frank Farrell geschrieben.
"
"Llevat que s’indiqui el contrari, totes les cançons han estat escrites per Lou Gramm i Bruce Turgon.
","Alle Lieder wurden von Lou Gramm und Bruce Turgon geschrieben, es sei denn, es wird anderweitig angegeben.
"
"Lucinda Williams va escriure totes les cançons.
","Alle Lieder wurden von Lucinda Williams geschrieben.
"
"Totes les cançons han estat escrites per Martin Gore, excepte The Great Outdoors!
","Alle Lieder wurden von Martin Gore geschrieben, mit Ausnahme von „The Great Outdoors!“
"
"Totes les cançons estan escrites per Marvin Gaye.
","Alle Lieder wurden von Marvin Gaye geschrieben.
"
"Totes les cançons estan escrites per Neil Young.
","Alle Lieder wurden von Neil Young geschrieben.
"
"Totes les cançons estan escrites per Nick Cave.
","Alle Lieder wurden von Nick Cave geschrieben.
"
"Totes les cançons van ser escrites per Peter Wolf i Seth Justman.
","Alle Lieder wurden von Peter Wolf und Seth Justman geschrieben.
"
"Totes les cançons estan escrites per Prince.
","Alle Lieder wurden von Prince geschrieben.
"
"Raymond Watts va escriure totes les cançons.
","Alle Lieder wurden von Raymond Watts geschrieben.
"
"Tota la cançó està escrita per Robbin Crosby i Stephen Pearcy, excepte on s'indiqui.
","Alle Lieder wurden von Robbin Crosby und Stephen Pearcy geschrieben, soweit nicht anders angegeben.
"
"Totes les cançons estan escrites per Scott Lucas i Joe Daniels.
","Alle Lieder wurden von Scott Lucas und Joe Daniels geschrieben.
"
"Totes les cançons són escrites per Shulman, Shulman, Shulman i Minnear i arranjades per Gentle Giant.
","Alle Lieder wurden von Shulman, Shulman, Shulman und Minnear geschrieben und von Gentle Giant arrangiert.
"
"Totes les cançons són produïdes per Sponge i Tim Patalan.
","Alle Lieder wurden von Sponge und Tim Patalan produziert.
"
"Totes les cançons estan compostes per Steve Perry, tret que s’indiqui el contrari.
","Alle Lieder wurden von Steve Perry komponiert, sofern nicht anders vermerkt.
"
"Totes les cançons estan escrites per Stevie Wonder, tret que s'indiqui d'altre manera.
","Alle Lieder wurden von Stevie Wonder geschrieben, sofern nicht anders vermerkt.
"
"Llevat que s’indiqui el contrari, totes les cançons han estat escrites per Tanya Donelly.
","Alle Lieder wurden von Tanya Donelly geschrieben, außer anders angeben.
"
"Totes les cançons estan escrites per The Aquabats.
","Alle Lieder wurden von The Aquabats geschrieben.
"
"Totes les cançons estan escrites per The Fireman.
","Alle Lieder wurden von The Fireman geschrieben.
"
"Totes les cançons estan escrites per Thurston Moore.
","Alle Lieder wurden von Thurston Moore geschrieben.
"
"Totes les cançons estan escrites per Tom Verlaine.
","Alle Lieder wurden von Tom Verlaine geschrieben.
"
"Totes les cançons han estat escrites per Tony Banks i Mike Rutherford, llevat que s'indiqui el contrari.
","Alle Lieder wurden von Tony Banks und Mike Rutherford geschrieben, falls nicht anders vermerkt.
"
"Totes les cançons les ha escrit per Treble Charger.
","Alle Lieder wurden von Treble Charger geschrieben.
"
"Totes les lletres de les cançons són deVan Morrison, llevat que s'indiqui el contrari.
","Alle Lieder wurden von Van Morrison geschrieben, sofern nicht etwas Anderes angegeben ist.
"
"Lletres d'Albarn.
","Alle Liedtexte von Albarn.
"
"Tots estan enterrats en el Lake View Cemetery, Cleveland.
","Alle liegen im Lake View Cemetery in Cleveland begraben.
"
"Tots estan completament dins de l'àrea metropolitana.
","Alle liegen vollständig innerhalb des Stadtgebiets.
"
"Les lligues o els equips independents amb un fons gris estan obsolets.
","Alle Ligen oder unabhängigen Mannschaften mit einem grauen Hintergrund haben sich aufgelöst.
"
"Totes les línies excepte la Red Line comparteixen vies, principalment pels túnels del centre.
","Alle Linien verkehren auf denselben Gleisen, meist durch die Tunnels unter der Innenstadt.
"
"Es proporcionen tots els passos lògics intermedis, sense excepció.
","Alle logischen Zwischenschritte werden ausnahmslos zur Verfügung gestellt.
"
"Totes les locomotores de la línia Whitcomb construïdes després portaven el nom d'identificació B-L-H.
","Alle Loks der Whitcomb-Linie, die danach gebaut wurden, trugen den Identifikationsnamen B-L-H.
"
"Totes les naus “Lunar Orbiter” les va llançar un vehicle de llançament “Atlas-Agena D”.
","Alle Lunar Orbiter-Fahrzeuge wurden von einer Atlas-Agena D-Trägerrakete gestartet.
"
"A totes les noies els agradava escoltar-lo parlar.
","Alle Mädchen mochten es, ihm zuzuhören.
"
"Tots els mandats rebuts a la primera volta es conservarien.
","Alle Mandate, die in der ersten Runde erreicht wurden, bleiben bestehen.
"
"Tots els escons es van ocupar a través d'eleccions especials.
","Alle Mandate wurden durch Sonderwahlen vergeben.
"
"Es van perdre totes les mans.
","Alle Mann waren verloren.
"
"Tots els homes es van salvar i van pujar al vaixell de Vespucci.
","Alle Männer wurden gerettet und auf das Schiff von Vespucci verladen.
"
"Tots els equips fan servir la regla de colpeig designada.
","Alle Mannschaften machten von der Designated-Hitter-Regel Gebrauch.
"
"Tots els equips competeixen a la Lliga Molesey and District Darts.
","Alle Mannschaften treten in der Molesey und District Darts League gegeneinander an.
"
"Totes les màquines d'una xarxa compartien també el directori arrel.
","Alle Maschinen in einem Netzwerk teilten sich auch das Stammverzeichnis.
"
"Tots els matemàtics saben que Pi és aproximadament tres coma u quatre
","Alle Mathematiker wissen, dass Pi ungefähr drei Punkt eins vier ist
"
"Tots els medicaments es fabricaven sota el lideratge de Walter Piskorski.
","Alle Medikamente zur Markteinführung wurden unter der Leitung von Walter Piskorski hergestellt.
"
"Tots els transports d'emergència mèdica es realitzen a través de el Departament de bombers de Gardiner.
","Alle medizinischen Notfalltransporte werden von der Gardiner Feuerwehr durchgeführt.
"
"Totes les meves pel·lícules són espirituals i totes tenen una perspectiva emocional.
","Alle meine Filme haben einen spirituellen Background und sind emotional.
"
"Tot els meus avantpassats han contribuït a les benediccions que estic vivint ara.
","Alle meine Vorfahren haben zu dem beigetragen, was ich jetzt genieße.
"
"Tota la gent s’agenolla i adora l’infant.
","Alle Menschen knien nieder und beten das Baby an.
"
"Tothom hauria de tenir una assegurança de salut.
","Alle Menschen sollten krankenversichert sein.
"
"Totes els mesotels tenen vuit fileres en quatre parells.
","Alle Mesothelae haben acht Spinndrüsen in vier Paaren.
"
"Totes les galgues es poden dividir en quatre tipus principals, independent del seu ús real.
","Alle Messgeräte lassen sich unabhängig von ihrer tatsächlichen Verwendung in vier Haupttypen unterteilen.
"
"Totes les dents primàries es formen en el naixement.
","Alle Milchzähne werden bei der Geburt gebildet.
"
"Tots els ministres eren membres del gabinet.
","Alle Minister waren Mitglieder des Kabinetts.
"
"Tots ells associats a una ciutat o comunitat.
","Alle mit einer Stadt oder Gemeinde verbunden.
"
"En aquesta ocasió, per tradició tots els membres del personal porten l'uniforme complet de l'acadèmia.
","Alle Mitarbeiter tragen bei dieser Gelegenheit traditionell die volle akademische Kleidung.
"
"Tots els treballadors i les seves famílies experimenten serioses inspeccions sanitàries cada mes.
","Alle Mitarbeiter und ihre Familienangehörigen werden jeden Monat intensiven Gesundheitsuntersuchungen unterzogen.
"
"Tothom va mirar cap el prat d'on sortia la carretera blanca.
","Alle miteinander blickten über das Moor hinaus, wo die weiße Straße verlief.
"
"Tots els membres de les dues cases s”escullen per a terminis fixes de quatre anys.
","Alle Mitglieder beider Häuser werden für eine feste Amtszeit von vier Jahren gewählt.
"
"Tots els membres del grup són germans.
","Alle Mitglieder der Band sind Geschwister.
"
"Tots els membres del grup van aportar composicions a aquest àlbum.
","Alle Mitglieder der Gruppe haben mit Kompositionen zu diesem Album beigetragen.
"
"Tots els membres dels Hurricanegers són estudiants de l'Acadèmia Ninja Hayate Way.
","Alle Mitglieder der Hurricanegers sind Schüler der Ninja-Akademie von Hayate Way.
"
"Tots els membres de la conferència al llarg de la seva història han sigut escoles privades.
","Alle Mitglieder der Konferenz haben sich im Laufe ihrer Geschichte als Privatschulen erwiesen.
"
"Tots els membres de la legislatura nacional compleixen un termini de sis anys.
","Alle Mitglieder der National Legislature hatten eine Mandatsdauer von sechs Jahren.
"
"Tots els membres de l’equip de protecció duen roba folgada i lleugera.
","Alle Mitglieder des Schutzteams tragen lockere Schlabberkleidung.
"
"Tots els membres servien fins la seva mort, a menys que s'especifiqués el contrari.
","Alle Mitglieder dienten bis zu ihrem Tod, sofern nicht anders angegeben.
"
"Tots els membres han d’abandonar la unitat tàctica passats deu anys.
","Alle Mitglieder müssen die taktische Einheit nach zehn Jahren verlassen.
"
"Tots els membres són de Tòquio, Japó.
","Alle Mitglieder sind aus Tokio, Japan.
"
"Tots els membres de Rollerskate Skinny han continuat amb altres projectes musicals.
","Alle Mitglieder von Rollerskate Skinny sind zu anderen Musical-Projekten gewechselt.
"
"Tots els Estats Membres de la Unió van donar suport al Programa d'actuació aprovat al Caire.
","Alle Mitgliedstaaten der Union haben den in Kairo genehmigten Aktionsplan genehmigt.
"
"Tots els espectacles de Mix Squad es transmeten en directe.
","Alle Mix Squad Shows werden live ausgestrahlt.
"
"Tothom els estimava i gaudia d'ells.
","Alle mochten und genossen sie.
"
"Tots els mesos, excepte gener, febrer i març, cauen precipitacions substancials.
","Alle Monate außer Januar, Februar und März erhalten erhebliche Niederschläge.
"
"Tots motors inclouen un sistema d'aturada i arrencada.
","Alle Motoren verfügen über ein Start-Stopp-System.
"
"Totes les locomotores es van pintar de negre.
","Alle Motoren war schwarz lackiert.
"
"Tots els motors estan aturats i l’inici es reprèn des dels cinc minuts.
","Alle Motoren werden abgestellt und der Start ab dem Fünf-Minuten-Punkt wieder aufgenommen.
"
"Tots els models del motor disposen d'arbres de lleves a doble costat amb cronometratge de vàlvules variables.
","Alle Motorenmodelle verfügen über zwei obenliegende Nockenwellen mit variabler Ventilsteuerung.
"
"Totes les versions d’aquest motor fan servir una cadena de temps.
","Alle Motorenmodelle verwenden eine Steuerkette.
"
"Totes les monedes d’aquesta sèrie mostren l’anterior president, Sir Dawda Jawara.
","Alle Münzen dieser Serie zeigen den ehemaligen Präsidenten Sir Dawda Jawara.
"
"Totes les monedes tenen la mateix composició i mida que els seus equivalents britànics.
","Alle Münzen haben die gleiche Zusammensetzung und Größe wie die entsprechenden britischen Münzen.
"
"Totes les monedes tenen inscripcions idèntiques en serbi, usant l”alfabet ciríl·lic i l”alfabet llatí.
","Alle Münzen weisen identische Inschriften in serbischer Sprache mit kyrillischer und lateinischer Schrift auf.
"
"Totes les monedes es van fabricar a la Tower Mint de Londres.
","Alle Münzen wurden in der Münzstätte „Tower Mint“ in London geprägt.
"
"Totes les monedes es van fabricar a la Tower Mint de la ciutat de Londres.
","Alle Münzen wurden in der Tower Mint in der Stadt London hergestellt.
"
"Tota la música de Voivod.
","Alle Musikstücke von Voivod.
"
"Tots els vídeos musicals són per a Manic Street Preachers, fent servir les instal·lacions de “Crash Editing”.
","Alle Musikvideos sind für Manic Street Preachers, die ‚Crash Editing‘-Einrichtungen verwenden.
"
"Tots estan lluitant per trobar un lloc per ells mateixos al món.
","Alle müssen sich ihren Platz in der Welt erkämpfen.
"
"Tots els patrons de Llavors tenen aquesta forma.
","Alle Muster in Seeds haben diese Form.
"
"Per tant, tots els patrons han de tenir una seqüència transposicional que tinguin com a mitjana un nombre enter.
","Alle Muster müssen daher eine Siteswap-Sequenz haben, deren Mittelwert eine ganze Zahl ist.
"
"Les pistes següents canvien la seva numeració tal com correspon.
","Alle nachfolgenden Tracks verschieben ihre Nummerierung entsprechend zurück.
"
"Es van comprovar tots els noms per veure si figuraven a la llista d'aptitud civil.
","Alle Namen wurden anhand einer zivilen Untauglichkeitsliste überprüft.
"
"Totes les banderes nacionals són rectangulars, excepte la del Nepal.
","Alle Nationalflaggen sind rechteckig, mit Ausnahme der nepalesischen Flagge.
"
"Totes les reedicions es van remasteritzar.
","Alle Neuauflagen wurden neu gemastert.
"
"Totes les noves generacions de GPU admeten la tessel·lació al maquinari.
","Alle neuen Generationen der Grafikprozessoren unterstützen Tesselation Shader.
"
"Tots els setanta-nou que eren a bord van morir.
","Alle neunundsiebzig Menschen an Bord kamen ums Leben.
"
"Tots els jugadors nominats que superen la cerimònia d’acollida al saló de la fama reben un lloc addicional al panel.
","Alle noch lebenden Mitglieder der Hall erhalten einen zusätzlichen Platz im Gremium.
"
"Cada nota està separada uniformement.
","Alle Noten besitzen den gleichen Abstand voneinander.
"
"Els quatre districtes anteriors són a la divisió de Patna juntament amb Patna i el districte de Nalanda.
","Alle oben erwähnten Stadtteile gehören zusammen mit Patna und dem Distrikt Nalanda zum Distrikt Patna.
"
"Tots els alcaldes de Londres són apolítics.
","Alle Oberbürgermeister von London sind unpolitisch.
"
"Totes les elevacions de la superfície són aproximades.
","Alle Oberflächenerhebungen sind ungefähre Angaben.
"
"Tots els objectes es poden nomenar o canviar de nom, com en l'exemple anterior.
","Alle Objekte können benannt oder umbenannt werden, wie im oberen Beispiel.
"
"La majoria o tots els membres pertanyen a almenys una altra conferència atlètica.
","Alle oder fast alle Mitglieder gehören mindestens einer anderen Sportkonferenz an.
"
"Tots els hospitals públics de Hong Kong són gestionats per l’Hospital Authority.
","Alle öffentlichen Krankenhäuser in Hongkong werden von der Hospital Authority verwaltet.
"
"Tots els autobusos escolars públics a Florida tenen un nom semblant.
","Alle öffentlichen Schulbusse in Florida tragen ähnliche Namen.
"
"Tots els funcionaris completen formació sobre armes de foc segons el National Firearms Training Curriculum.
","Alle Offiziere absolvieren eine Feuerwaffenausbildung nach dem Nationalen Lehrplan für die Ausbildung an der Feuerwaffe.
"
"Tots els oficials i l'equip de la Força Terrestre es formen a l'Acadèmia de la Força Terrestre.
","Alle Offiziere und Besatzungsmitglieder der EarthForce trainieren an der EarthForce Academy.
"
"Tots els oficials portaven armes per protegir els seus vaixells.
","Alle Offiziere waren zum Schutz ihrer Schiffe bewaffnet.
"
"Tots els vessaments van tenir lloc a la plataforma oceànica anomenada Erik Raude.
","Alle Ölverschmutzungen kamen von einer Ölplattform namens Erik Raude.
"
"Tots els nodes openMosix són inherentment iguals i cadascun por set pare i fill simultàniament.
","Alle openMosix-Knoten sind grundsätzlich gleich, und jeder kann gleichzeitig Eltern- und Kind-Knoten sein.
"
"Totes les operacions s’han realitzat des de Mont-real i Toronto.
","Alle Operationen wurden von Montreal und Toronto aus weitergeführt.
"
"Qualsevol membre de ple dret pot ser escollit a les eleccions.
","Alle ordentlichen Mitglieder können abstimmen.
"
"Tots els llocs i objectes inscrits al registre tenen dret a una placa Blava.
","Alle Orte und Gegenstände, die im Register aufgeführt sind haben Anspruch auf eine blaue Plakette.
"
"Totes les llengües germàniques orientals es van extingir com a llengües vives.
","Alle ostgermanischen Sprachen sind in ihrer Existenz als lebende Sprachen ausgestorben.
"
"Així mateix, poden passar-se tots els paràmetres utilitzant el seu nom de manera desordenada.
","Alle Parameter werden möglicherweise auch durch die Verwendung ihrer Namen auf eine ungeordnete Art überschritten.
"
"Totes les parts van reafirmar el seu compromís d'eliminar les pitjors formes de treball infantil.
","Alle Parteien beteuerten erneut ihr Engagement, die schlimmsten Formen der Kinderarbeit zu beseitigen.
"
"Tots els partits han de ser aprovats pel Ministeri de l'Interior.
","Alle Parteien müssen vom Innenministerium genehmigt werden.
"
"Tots els passatgers i el pilot van morir.
","Alle Passagiere und der Pilot wurden getötet.
"
"Tots els passatgers eren ciutadans neozelandesos, llevat d'un ciutadà nord-americà.
","Alle Passagiere waren neuseeländische Staatsbürger mit Ausnahme eines Staatsbürgers der Vereinigten Staaten.
"
"Tots s'adapten a les noves formes de vida.
","Alle passen sich neuen Lebensweisen an.
"
"Tots els comandants perses es van reunir a la tenda de Qarciha-Khan i també van convocar a Giorgi.
","Alle persischen Kommandanten, Giorgi eingeschlossen, versammelten sich in Qarciha-Khans Zelt.
"
"En un cotxe, totes les persones han de portar el cinturó de seguretat.
","Alle Personen müssen in einem Auto angeschnallt sein.
"
"Tots els crèdits del personal estan adaptats de les notes de l'àlbum ""Dry"".
","Alle persönlichen Danksagungen gemäß Album ""Dry"".
"
"S'han de desenterrar totes les arrels primàries o tornarà a aparèixer la planta.
","Alle Pfahlwurzeln müssen ausgegraben werden, sonst kommt die Pflanze wieder zurück.
"
"Van extraure totes les plantacions, posaven els roures en contenidors per plantar-los de nou més endavant.
","Alle Pflanzen wurden entfernt, wobei die Eichen in Kisten gegeben wurden, damit sie später umgesetzt werden können.
"
"Totes les parts de la planta són d'un color blanc groguenc a vermellós.
","Alle Pflanzenteile sind hellgelblich weiß bis rötlich gefärbt.
"
"Tots els minerals fil·losilicats són hidratats, amb aigua o amb grups hidroxils units.
","Alle Phyllosilikat-Mineralien sind hydratisiert mit angelagerten Wasser- oder Hydroxyl-Gruppen.
"
"Tots els pilots són exmembres de la marina reial britànica, però també de l'exèrcit britànic de l'aire.
","Alle Piloten sind Ex-Militärs der Royal Navy oder des Army Air Corps.
"
"Tots els bolets d´aquest gènere formen les micorrizes.
","Alle Pilze in dieser Gattung bilden Mykorrhizen.
"
"Tota l'activitat política va ser prohibida.
","Alle politischen Aktivitäten wurden verboten.
"
"Totes les carteres són pertinents.
","Alle Portfolios sind relevant.
"
"Tots els reporters del «Post» són ciutadans tailandesos, ja que es requereix fluïdesa en tailandès.
","Alle „Post“-Reporter sind Thailänder, da fließendes Thai erforderlich ist.
"
"Tots practiquen tradicions ortodoxes.
","Alle praktizieren orthodoxe Traditionen.
"
"Totes les tarifes són en lliures esterlines.
","Alle Preise sind in Pfund Sterling.
"
"Tots els llançaments de How We Live eren només a escala europea, a Portrait Records.
","Alle Produktionen von How We Live wurden ausschließlich in Europa auf Portrait Records veröffentlicht.
"
"Tots els cotxes produïts es van pintar de blanc, excepte dos exemples, un vermell i un altre gris.
","Alle produzierten Autos wurden weiß lackiert, mit Ausnahme von zwei Exemplaren – eins war rot und eins grau.
"
"Tots els equips de futbol professional d”Anglaterra són membres de l”Associació de Futbol.
","Alle professionellen Fußballmannschaften Englands sind Mitglied des Fußballverbandes.
"
"Tots els programes comparteixen un compromís tant de formació professional com d´investigació.
","Alle Programme engagieren sich sowohl im professionellen Training als auch in der Forschung.
"
"Tots aquests programes van experimentar un augment significatiu de les valoracions gràcies a “l'efecte reality”.
","Alle Programme erfuhren dank des „Realitätseffekts“ einen erheblichen Rating-Schub.
"
"Tota la programació està subjecta a les preferències esportives.
","Alle Programme unterliegen dem Vorkaufsrecht von Sportveranstaltungen.
"
"Es van aturar tots els projectes durant un període inicial d’avaluació.
","Alle Projekte wurden während einer ersten Evaluationsperiode gestoppt.
"
"Totes les proporcions estaven malament.
","Alle Proportionen waren falsch.
"
"Totes les províncies tenen un impost sobre transferències de terres, excepte Alberta i Saskatchewan.
","Alle Provinzen erheben eine Grunderwerbssteuer, mit Ausnahme von Alberta und Saskatchewan.
"
"Els punts d’aquesta espiral es basen en el mateix pla.
","Alle Punkte auf dieser Spirale liegen in der gleichen Ebene.
"
"Tots els punts rebuts per un constructor es guardaven per al final total.
","Alle Punkte, die ein Konstrukteur erhielt, wurden für die Endsumme beibehalten.
"
"Totes les peces del trencaclosques van encaixant.
","Alle Puzzlestücke fügen sich zusammen.
"
"Tots els Raiders porten la boina verda amb l’emblema nacional a l’esquerra.
","Alle Raiders tragen die grüne Baskenmütze mit dem nationalen Emblem auf der linken Seite.
"
"Unint totes les races.
","Alle Rassen vereinend.
"
"Qualsevol consell que no compleixi aquest estàndard s'ha d'etiquetar com a restringit.
","Alle Ratschläge, die diesem Standard nicht entsprechen, müssen als eingeschränkt gekennzeichnet werden.
"
"Tot els membres del Consell són escollits en general.
","Alle Ratsmitglieder werden ohne feste Aufgaben gewählt.
"
"Tots els sistemes de naus espacials van funcionar satisfactòriament.
","Alle Raumfahrzeugsysteme arbeiteten zufriedenstellend.
"
"Tots els reactors estan tancats i en procés de desmantellament.
","Alle Reaktoren sind abgeschaltet und befinden sich in der Stilllegung.
"
"Tots els drets reservats.
","Alle Rechte vorbehalten.
"
"Tots els objectes rescatables s'havien de treure per vendre'ls o emmagatzemar-los.
","Alle recycelbaren Gegenstände werden entfernt und verkauft oder gelagert.
"
"També cal copiar totes els fitxers i directoris esmentats.
","Alle referenzierten Dateien und Verzeichnisse müssen ebenfalls kopiert werden.
"
"Tots els operadors intraestatals regionals també fan servir la Terminal Sud.
","Alle regionalen innerstaatlichen Speditionen nutzen auch das Süd-Terminal.
"
"Cada regió organitza les seves pròpies lectures i tallers locals.
","Alle Regionen organisieren lokale Präsentationen sowie Workshops.
"
"Tots els membres de nivell bàsic tenen dret a ocupar un càrrec important i votar en els afers de la tribu.
","Alle regulären Mitglieder haben das Recht, ein Amt zu bekleiden und über Angelegenheiten des Stammes abzustimmen.
"
"Tots els jocs de viatges a la ciutat o al país es juguen al complex de Kolz.
","Alle Reisespiele innerorts und zu Hause werden im Kolz Complex gespielt.
"
